"Жилая площадь, м^2","Площадь кухни, м^2","Общая площадь, м^2",Этаж,"Стоимость, р.",Количество комнат,Тип жилья,Планировка,Высота потолков,Санузел,Ремонт,Вид из окон,Балкон/лоджия,Количество пассажирских лифтов,Год постройки,Количество грузовых лифтов,Количество этажей,Технология строительства,Район,Станция метро,Широта,Долгота
39.0,15.0,72.5,7,11900000,4,,,,,,,,1,1985.0,0,9,panel,Красногвардейский,Проспект Большевиков,59.942737,30.475571
15.0,5.0,24.0,1,5490000,0,,,,,,,,1,2016.0,1,10,monolith,Красносельский,Проспект Ветеранов,59.851846,30.137705
16.0,10.0,39.7,8,8050000,1,,,,,,,,3,2016.0,2,25,monolith,Красносельский,Ленинский проспект,59.870366,30.158986
30.1,8.5,50.7,13,10300000,2,,,,,,,,1,1981.0,1,14,panel,Выборгский,Озерки,60.045879,30.320216
22.2,10.5,42.3,8,8800000,1,,,,,,,,1,2010.0,1,16,monolithBrick,Невский,Ладожская,59.930651,30.458952
0.0,0.0,34.2,9,12000000,1,,,,,,,,1,,1,12,monolith,Василеостровский,Приморская,59.955967,30.252887
105.0,12.0,190.0,6,59800000,3,,,,,,,,1,,0,6,brick,Центральный,Чернышевская,59.940844,30.378166
17.0,5.0,27.0,13,7050000,0,,,,,,,,2,2019.0,1,25,monolith,Приморский,Комендантский проспект,60.033773,30.214826
60.0,30.0,96.8,15,33000000,3,,,,,,,,2,2019.0,1,15,monolith,Красногвардейский,Ладожская,59.935205,30.433565
17.0,0.0,22.0,7,7500000,0,,,,,,,,0,,0,13,monolithBrick,Приморский,Лесная,59.990624,30.327906
0.0,0.0,26.0,5,3650000,0,,,,,,,,1,,1,10,monolithBrick,Пушкинский,Купчино,59.757339,30.471618
19.0,0.0,29.0,2,5750000,0,,,,,,,,1,,1,19,brick,Красногвардейский,,59.970623,30.413802
90.0,15.0,136.0,3,53000000,3,,,,,,,,1,2011.0,0,8,monolith,Петроградский,Петроградская,59.968826,30.306732
16.7,11.0,41.0,12,8500000,1,,,,,,,,2,2012.0,2,25,monolith,Красносельский,Ленинский проспект,59.85111,30.218563
0.0,23.6,58.0,3,21000000,2,,,,,,,,1,2016.0,0,9,monolith,Петроградский,Петроградская,59.974387,30.319515
15.0,15.5,33.67,3,11000000,1,,,,,,,,2,2021.0,1,12,monolith,Василеостровский,Приморская,59.955967,30.252887
156.0,27.0,217.0,4,30500000,6,,,,,,,,1,1858.0,0,6,brick,Адмиралтейский,Садовая,59.919585,30.306391
0.0,15.3,97.0,7,25350000,3,,,,,,,,3,2007.0,1,25,monolith,Приморский,Беговая,59.985003,30.218464
17.2,9.8,35.7,23,9490000,1,,,,,,,,4,2012.0,0,23,,Калининский,Гражданский проспект,60.039768,30.407505
44.0,14.0,76.0,4,9800000,2,,,,,,,,2,2017.0,2,25,monolith,Выборгский,Проспект Просвещения,60.071129,30.237526
33.0,8.0,52.5,2,9650000,2,,,,,,,,2,1992.0,0,12,panel,Приморский,Комендантский проспект,60.006098,30.252429
17.0,0.0,17.0,1,2950000,0,,,,,,,,0,1916.0,0,4,brick,Центральный,Площадь Восстания,59.934907,30.380107
0.0,0.0,14.8,2,3000000,0,,,,,,,,1,1896.0,0,7,brick,Центральный,Площадь Александра Невского,59.926409,30.378382
0.0,14.0,45.0,3,8150000,1,,,,,,,,1,1990.0,0,9,panel,Приморский,Комендантский проспект,60.022827,30.25675
18.0,6.0,30.0,2,5800000,1,,,,,,,,0,1970.0,0,5,panel,Красносельский,Проспект Ветеранов,59.825253,30.161295
19.9,9.9,36.3,6,5500000,1,,,,,,,,0,2012.0,0,6,brick,Пушкинский,Шушары,59.756614,30.476038
16.4,8.8,32.8,7,5800000,1,,,,,,,,1,1970.0,0,9,brick,Кировский,Проспект Ветеранов,59.837336,30.21108
27.6,16.3,57.3,19,13200000,2,,,,,,,,2,2019.0,2,26,monolithBrick,Фрунзенский,Дунайская,59.834515,30.401846
0.0,0.0,41.5,14,10700000,1,,,,,,,,2,2011.0,1,24,monolithBrick,Невский,Улица Дыбенко,59.914628,30.481185
0.0,0.0,59.8,5,20300000,2,,,,,,,,0,1900.0,0,6,brick,Петроградский,Горьковская,59.957341,30.315131
32.3,6.6,53.0,1,9300000,3,,,,,,,,0,1900.0,0,4,brick,Центральный,Площадь Восстания,59.938432,30.37354
29.0,10.0,44.0,10,10600000,1,,,,,,,,1,2002.0,1,16,monolithBrick,Приморский,Беговая,59.987303,30.219272
15.8,9.2,34.1,3,7150000,1,,,,,,,,1,1981.0,1,12,monolith,Фрунзенский,Дунайская,59.845537,30.415114
35.1,8.0,56.1,4,13400000,2,,,,,,,,0,1956.0,0,5,stalin,Красногвардейский,Новочеркасская,59.926021,30.412913
22.0,3.0,35.8,5,8900000,1,,,,,,,,0,1912.0,0,7,brick,Адмиралтейский,Балтийская,59.916577,30.289583
33.7,9.2,61.1,9,11300000,2,,,,,,,,3,2009.0,1,25,monolithBrick,Приморский,Беговая,59.996421,30.214709
31.6,8.4,50.7,7,7400000,2,,,,,,,,1,1988.0,0,9,panel,Невский,Рыбацкое,59.838792,30.494157
29.0,5.6,43.1,1,7150000,2,,,,,,,,0,1962.0,0,5,brick,Выборгский,Удельная,60.016456,30.329073
28.0,6.0,43.3,1,7990000,2,,,,,,,,0,1962.0,0,5,brick,Приморский,Пионерская,59.9975,30.319237
50.0,22.0,79.0,3,34700000,2,,,,,,,,4,2019.0,0,10,monolithBrick,Центральный,Чернышевская,59.939938,30.391246
27.0,10.0,48.0,2,8400000,2,,,,,,,,1,1970.0,0,9,panel,Невский,Улица Дыбенко,59.902122,30.469453
27.8,5.6,41.7,7,7300000,2,,,,,,,,1,1963.0,0,8,panel,Кировский,Ленинский проспект,59.847236,30.258268
14.4,11.0,36.3,14,6300000,1,,,,,,,,2,2019.0,1,22,monolithBrick,Невский,Рыбацкое,59.830771,30.534222
13.0,20.0,40.0,5,6400000,1,,,,,,,,0,2016.0,4,25,monolith,Выборгский,Парнас,60.069557,30.312841
18.2,0.0,26.62,6,4390000,0,,,,,,,,2,,2,9,monolithBrick,Красносельский,,59.839488,30.099347
14.9,10.0,31.5,5,9950000,1,,,,,,,,1,2019.0,1,19,monolithBrick,Приморский,Комендантский проспект,60.034542,30.226261
22.9,11.2,46.2,1,8500000,1,,,,,,,,0,1982.0,0,4,brick,Калининский,Лесная,59.981235,30.3807
26.9,10.9,49.9,18,16000000,1,,,,,,,,1,2011.0,1,25,monolithBrick,Московский,Московская,59.853812,30.349699
17.4,13.9,45.1,12,10950000,1,,,,,,,,2,2016.0,2,24,monolithBrick,Приморский,Комендантский проспект,60.02124,30.277771
23.2,12.6,45.0,2,7600000,1,,,,,,,,1,,1,16,panel,Невский,Ломоносовская,59.87757,30.471852
26.9,6.2,43.9,3,6690000,2,,,,,,,,1,1978.0,0,9,panel,Красносельский,Проспект Ветеранов,59.846807,30.209606
14.0,15.0,42.7,6,12500000,1,,,,,,,,0,,0,14,,Приморский,Лесная,59.985863,30.321474
37.5,9.6,56.5,7,10750000,2,,,,,,,,2,1970.0,0,12,brick,Выборгский,Удельная,60.020395,30.321662
18.0,11.0,42.1,3,8500000,1,,,,,,,,1,2002.0,1,13,brick,Калининский,Гражданский проспект,60.043206,30.402843
14.8,11.7,38.4,10,7770000,1,,,,,,,,2,2017.0,1,22,monolith,Красносельский,Автово,59.864096,30.170862
32.0,10.0,55.0,10,9250000,2,,,,,,,,1,1990.0,1,16,panel,Невский,Рыбацкое,59.839316,30.509096
17.0,8.5,32.0,9,6200000,1,,,,,,,,2,2016.0,0,12,monolith,Красносельский,Проспект Ветеранов,59.839054,30.115355
25.6,23.9,66.6,11,16800000,2,,,,,,,,1,2017.0,1,16,monolith,Невский,Проспект Большевиков,59.919852,30.439225
27.4,6.7,44.3,9,7500000,2,,,,,,,,1,1974.0,0,9,panel,Выборгский,Проспект Просвещения,60.04472,30.358457
27.2,1.0,31.2,21,6390000,0,,,,,,,,1,2022.0,1,21,monolithBrick,Приморский,Пионерская,59.994751,30.275237
23.0,16.0,58.0,11,15500000,2,,,,,,,,2,2014.0,1,24,monolithBrick,Калининский,Выборгская,59.984557,30.392045
30.0,9.0,56.3,5,13200000,2,,,,,,,,0,1959.0,0,5,brick,Василеостровский,Приморская,59.939329,30.234041
52.0,15.0,84.0,2,14000000,4,,,,,,,,1,1914.0,0,8,brick,Адмиралтейский,Балтийская,59.922309,30.284014
48.1,10.1,76.9,2,15700000,3,,,,,,,,1,1893.0,0,4,brick,Адмиралтейский,Технологический институт,59.915833,30.312463
110.0,80.3,201.0,7,135000000,5,,,,,,,,1,2017.0,0,7,monolith,Петроградский,Крестовский остров,59.971834,30.263559
0.0,20.0,40.8,26,10500000,1,,,,,,,,2,2017.0,2,28,monolith,Приморский,Комендантский проспект,60.035351,30.225614
17.9,0.0,24.6,12,4700000,0,,,,,,,,2,2019.0,0,13,brick,Красносельский,Проспект Ветеранов,59.843923,30.110639
45.1,18.3,88.0,11,26900000,3,,,,,,,,2,2021.0,2,17,monolith,Василеостровский,Приморская,59.941479,30.193841
34.4,10.5,59.8,5,18900000,2,,,,,,,,1,2005.0,0,6,monolithBrick,Адмиралтейский,Балтийская,59.913735,30.296384
64.0,10.1,104.2,1,15800000,4,,,,,,,,1,2013.0,1,18,panel,Московский,Московская,59.833068,30.31232
30.0,8.5,51.5,3,8600000,2,,,,,,,,1,1995.0,0,10,panel,Красногвардейский,Ладожская,59.984247,30.522894
15.9,5.4,27.7,3,11900000,1,,,,,,,,1,1967.0,0,6,brick,Адмиралтейский,Нарвская,59.919464,30.280708
51.0,14.0,87.5,10,18800000,3,,,,,,,,1,2006.0,1,17,panel,Выборгский,Озерки,60.041144,30.332694
17.0,0.0,25.4,19,5300000,0,,,,,,,,1,2020.0,1,23,monolith,Пушкинский,Купчино,59.812193,30.373693
17.9,0.0,24.9,2,6100000,0,,,,,,,,2,2015.0,1,24,monolith,Калининский,Площадь Мужества,59.983734,30.385182
72.0,18.0,110.0,2,43000000,3,,,,,,,,1,1914.0,0,6,brick,Петроградский,Горьковская,59.95553,30.327034
20.0,6.0,32.3,5,11850000,0,,,,,,,,4,2019.0,1,8,monolith,Центральный,Площадь Александра Невского,59.926841,30.384598
14.0,10.4,32.58,7,6400000,1,,,,,,,,1,2021.0,1,8,monolithBrick,Красносельский,Проспект Ветеранов,59.841062,30.099284
0.0,0.0,79.0,6,14900000,3,,,,,,,,1,1910.0,0,7,brick,Выборгский,Лесная,59.995044,30.329666
31.0,14.2,68.4,20,15800000,2,,,,,,,,3,,1,23,monolithBrick,Василеостровский,Приморская,59.938486,30.196437
18.0,5.0,26.0,4,7400000,0,,,,,,,,0,,0,12,,Московский,Московская,59.842797,30.303229
48.6,8.8,72.0,7,12500000,3,,,,,,,,1,1979.0,1,12,panel,Московский,Московская,59.836879,30.314925
18.0,11.1,32.6,12,8190000,1,,,,,,,,2,2021.0,1,12,monolith,Приморский,,60.056908,30.267997
15.3,12.5,36.5,9,8200000,1,,,,,,,,1,,1,16,,Красногвардейский,,59.970303,30.418851
10.0,15.0,32.0,10,9990000,1,,,,,,,,1,,1,12,monolithBrick,Московский,Бухарестская,59.873162,30.34827
52.0,10.2,93.0,8,14150000,3,,,,,,,,1,2006.0,1,16,panel,Красносельский,Проспект Ветеранов,59.790023,30.14667
0.0,0.0,28.8,1,6359000,0,,,,,,,,0,2009.0,0,20,brick,Московский,Электросила,59.873735,30.310505
25.0,17.0,67.0,12,13400000,3,,,,,,,,1,2019.0,1,12,brick,Красносельский,Проспект Ветеранов,59.843923,30.110639
33.5,8.5,53.6,9,8800000,2,,,,,,,,1,1967.0,0,9,brick,Красносельский,,59.834379,30.152132
